rank,id,name,symbol,price_usd,market_cap,volume_24h,change_24h_pct
1.0,bitcoin,Bitcoin,BTC,77284.0,1551484973705,29985787887.0,-1.6785
2.0,ethereum,Ethereum,ETH,2413.37,291238808952,12579195083.0,-2.27491
3.0,tether,Tether,USDT,0.999609,183311147620,52667572314.0,-0.02023
4.0,binancecoin,BNB,BNB,680.73,90638611307,706359719.0,-1.45092
5.0,ripple,XRP,XRP,1.35,84467529866,2026304884.0,-2.50499
6.0,usd-coin,USDC,USDC,0.999764,73586913950,15942663534.0,-0.01357
7.0,solana,Solana,SOL,99.69,58331174812,3378217119.0,-3.42276
8.0,tron,TRON,TRX,0.322607,30627821011,606804668.0,-3.01312
9.0,figure-heloc,Figure Heloc,FIGR_HELOC,1.013,22318159093,894353750.0,-2.66974
10.0,hyperliquid,Hyperliquid,HYPE,82.46,18336244563,1409379549.0,-2.41468
11.0,zcash,Zcash,ZEC,827.48,13990039559,514119176.0,-2.51416
12.0,dogecoin,Dogecoin,DOGE,0.08154,12698304281,528232963.0,-1.78151
13.0,rain,Rain,RAIN,0.01668452,11828505364,41408969.0,-0.28767
14.0,usds,USDS,USDS,0.99981,9836239448,148520712.0,-0.01176
15.0,monero,Monero,XMR,496.03,9322694380,140654931.0,-5.08488
16.0,leo-token,LEO Token,LEO,9.37,8620564037,372403.0,-2.2022
17.0,whitebit,WhiteBIT Coin,WBT,71.08,8386467511,82446593.0,-1.91593
18.0,chainlink,Chainlink,LINK,11.19,8368405236,398474622.0,-1.29424
19.0,cardano,Cardano,ADA,0.195534,7332567823,345175192.0,-1.61983
20.0,stellar,Stellar,XLM,0.175148,6076587321,112004874.0,-1.24823
21.0,bitcoin-cash,Bitcoin Cash,BCH,244.87,4916664780,112671135.0,-0.78889
22.0,dai,Dai,DAI,0.999857,4574418772,257706593.0,-0.01217
23.0,canton-network,Canton,CC,0.113743,4489625463,12309681.0,-6.71094
24.0,ethena-usde,Ethena USDe,USDE,0.999441,4218778109,50471977.0,-0.02539
25.0,usd1-wlfi,USD1,USD1,0.999327,4194948363,1281197229.0,-0.02235
26.0,litecoin,Litecoin,LTC,49.58,3845652958,273163273.0,2.06241
27.0,the-open-network,Gram (prev. Toncoin),GRAM,1.32,3655022324,51127581.0,-6.37171
28.0,uniswap,Uniswap,UNI,5.83,3632892673,901138439.0,11.51666
29.0,global-dollar,Global Dollar,USDG,0.999898,3274791310,1577164077.0,-0.03396
30.0,hedera-hashgraph,Hedera,HBAR,0.073941,3240896166,57989014.0,0.45625
31.0,avalanche-2,Avalanche,AVAX,7.19,3103784351,186106144.0,-0.46975
32.0,shiba-inu,Shiba Inu,SHIB,5.13e-06,3023183917,72576815.0,1.1329
33.0,sui,Sui,SUI,0.719326,2946190428,379728637.0,-0.95417
