week,sentiment,count
2022-11-28,Negative,3
2022-11-28,Neutral,27
2022-11-28,Positive,27
2022-12-05,Negative,21
2022-12-05,Neutral,53
2022-12-05,Positive,73
2022-12-12,Negative,11
2022-12-12,Neutral,38
2022-12-12,Positive,35
2022-12-19,Negative,10
2022-12-19,Neutral,23
2022-12-19,Positive,21
2022-12-26,Negative,5
2022-12-26,Neutral,29
2022-12-26,Positive,15
2023-01-02,Negative,15
2023-01-02,Neutral,46
2023-01-02,Positive,35
2023-01-09,Negative,16
2023-01-09,Neutral,43
2023-01-09,Positive,51
2023-01-16,Negative,12
2023-01-16,Neutral,64
2023-01-16,Positive,52
2023-01-23,Negative,19
2023-01-23,Neutral,64
2023-01-23,Positive,54
2023-01-30,Negative,18
2023-01-30,Neutral,93
2023-01-30,Positive,71
2023-02-06,Negative,32
2023-02-06,Neutral,97
2023-02-06,Positive,88
2023-02-13,Negative,20
2023-02-13,Neutral,71
2023-02-13,Positive,55
2023-02-20,Negative,20
2023-02-20,Neutral,37
2023-02-20,Positive,36
